Kanji,Onyomi,Kunyomi,Arti
安,an,yasu-i,murah
一,ichi,hito-tsu,satu
飲,in,no-mu,minum
右,"u, yuu",migi,kanan
雨,u,ame,hujan
駅,eki,-,stasiun
円,en,maru,yen
火,ka,hi,api
花,ka,hana,bunga
下,"ka, ge","shita, kuda-saru",bawah
何,ka,"nani, nan",apa
会,kai,a-u,bertemu
外,"gai, ge",soto,diluar
学,gaku,mana-bu,belajar
間,kan,"ma, aida",interval
気,"ki, ke",-,mood
九,kyuu,kokono-tsu,sembilan
休,kyuu,yasu-mu,istirahat
魚,gyo,"sakana, uo",ikan
金,kin,kane,uang
空,kuu,sora,langit
月,"getsu, gatsu",tsuki,bulan
見,ken,mi-ru,melihat
言,"gen, gon","koto, i-u",berkata
古,ko,furu-i,lama/kuno
五,go,itsu-tsu,lima
後,"go, kou","ato, ushi-ro","dibelakang, setelah"
午,go,-,siang
語,go,kata-ru,bahasa
校,kou,-,sekolahan
口,kou,kuchi,mulut
行,"gyou, kou","i-ku, okona-u","pergi, melaksanakan"
高,kou,taka-i,"mahal, tinggi"
国,koku,kuni,negara
今,kon,ima,sekarang
左,sa,hidari,kiri
三,san,mi-tsu,tiga
山,san,yama,gunung
四,shi,yo-tsu,empat
子,"shi, su",ko,anak
耳,ji,mimi,telinga
時,ji,toki,waktu
七,shichi,nana-tsu,tujuh
車,sha,kuruma,mobil
社,sha,yashiro,perusahaan
手,shu,te,tangan
週,shuu,-,minggu
十,juu,tou,sepuluh
出,shutsu,"de-ru, da-su",keluar
書,sho,ka-ku,menulis
女,jo,onna,perempuan
小,shou,chii-sai,kecil
少,shou,suku-nai,sedikit
上,jou,"ue, a-garu",atas
食,shoku,ta-beru,makan
新,shin,atara-shii,baru
人,"jin, nin",hito,orang
水,sui,mizu,air
生,sei,"i-kiru, u-mu","hidup, lahir"
西,"sei, sai",nishi,barat
川,sen,kawa,sungai
千,sen,chi,seribu
先,sen,saki,"tadi, ujung"
前,zen,mae,sebelum
足,soku,ashi,kaki
多,ta,oo-i,banyak
大,"dai, tai",oo-kii,besar
男,"dan, nan",otoko,laki-laki
中,chuu,naka,tengah
長,chou,naga-i,panjang
天,ten,ama,surga
店,ten,mise,toko
電,den,-,listrik
土,"do, to",tsuchi,tanah
東,tou,higashi,timur
道,dou,michi,jalan
読,doku,yo-mu,membaca
南,nan,minami,selatan
二,ni,futa-tsu,dua
日,"nichi, jitsu","hi, -ka",hari
入,nyuu,hai-ru,masuk
年,nen,toshi,tahun
買,bai,ka-u,membeli
白,haku,shiro-i,putih
八,hachi,ya-tsu,delapan
半,han,naka-ba,separuh
百,hyaku,-,seratus
父,fu,chichi,ayah
分,"fun, bun","wa-keru, wa-karu",menit
聞,"bun, mon",ki-ku,mendengar
母,bo,haha,ibu
北,hoku,kita,utara
木,"moku, boku",ki,pohon
本,hon,moto,"asal, buku"
毎,mai,-,setiap
万,"man, ban",-,sepuluh ribu
名,"mei, myou",na,nama
目,moku,me,mata
友,yuu,tomo,teman
来,rai,ku-ru,datang
立,ritsu,ta-tsu,berdiri
六,roku,mu-tsu,enam
話,wa,"hana-su, hanashi",berbicara
